SystemTime[SystemTime],Vol. inst. value[Y_y_tempCompVolFlow],Vol. integrated value[Y_y_VolFlowSum],Vol. average integrated value[P_x_CALCVolFlowSumMean],Vol. integration time[Y_y_VolFlowTimeSum]
02:14:09 PM,6.5460,0.0000,3.4787,0.0
02:14:10 PM,6.6887,0.0018,0.0000,1.0
02:14:11 PM,6.6709,0.0037,6.5827,2.0
02:14:12 PM,6.6492,0.0055,6.6861,3.0
02:14:13 PM,6.4861,0.0073,6.6345,4.0
02:14:14 PM,6.5343,0.0091,6.5957,5.0
02:14:15 PM,6.5226,0.0110,6.5725,6.0
02:14:16 PM,6.5805,0.0128,6.6086,7.0
02:14:17 PM,6.5524,0.0146,6.5902,8.0
02:14:18 PM,6.5557,0.0164,6.5764,9.0
02:14:19 PM,6.5342,0.0183,6.5657,10.0
02:14:20 PM,6.5395,0.0201,6.5931,11.0
02:14:21 PM,6.5438,0.0219,6.5828,12.0
02:14:22 PM,6.5810,0.0237,6.5786,13.0
02:14:23 PM,6.5414,0.0256,6.5710,14.0
02:14:24 PM,6.5340,0.0273,6.5829,15.0
02:14:25 PM,6.5456,0.0292,6.5588,16.0
02:14:26 PM,6.5513,0.0310,6.5732,17.0
02:14:27 PM,6.5501,0.0328,6.5677,18.0
02:14:28 PM,6.5686,0.0346,6.5628,19.0
02:14:29 PM,6.5379,0.0365,6.5585,20.0
02:14:30 PM,6.5574,0.0383,6.5726,21.0
02:14:31 PM,6.5613,0.0401,6.5682,22.0
02:14:32 PM,6.5517,0.0419,6.5618,23.0
02:14:33 PM,6.5510,0.0437,6.5583,24.0
02:14:34 PM,6.5299,0.0455,6.5550,25.0
02:14:35 PM,6.5830,0.0474,6.5561,26.0
02:14:36 PM,6.5751,0.0492,6.5650,27.0
02:14:37 PM,6.5583,0.0510,6.5638,28.0
02:14:38 PM,6.5631,0.0529,6.5571,29.0
02:14:39 PM,6.5395,0.0547,6.5669,30.0
02:14:40 PM,6.5584,0.0565,6.5657,31.0
02:14:41 PM,6.5603,0.0583,6.5646,32.0
02:14:42 PM,6.5594,0.0601,6.5619,33.0
02:14:43 PM,6.5352,0.0619,6.5595,34.0
02:14:44 PM,6.5447,0.0638,6.5571,35.0
02:14:45 PM,6.5809,0.0656,6.5637,36.0
02:14:46 PM,6.5402,0.0674,6.5614,37.0
02:14:47 PM,6.5051,0.0692,6.5606,38.0
02:14:48 PM,6.5253,0.0710,6.5571,39.0
02:14:49 PM,6.4255,0.0728,6.5565,40.0
02:14:50 PM,6.3924,0.0746,6.5533,41.0
02:14:51 PM,6.3814,0.0764,6.5502,42.0
02:14:52 PM,6.3969,0.0782,6.5486,43.0
02:14:53 PM,6.4003,0.0800,6.5494,44.0
02:14:54 PM,6.4593,0.0817,6.5466,45.0
02:14:55 PM,6.4067,0.0835,6.5371,46.0
02:14:56 PM,6.3678,0.0853,6.5359,47.0
02:14:57 PM,6.3641,0.0871,6.5347,48.0
02:14:58 PM,6.3820,0.0888,6.5336,49.0
02:14:59 PM,6.3947,0.0906,6.5262,50.0
02:15:00 PM,6.3869,0.0924,6.5252,51.0
02:15:01 PM,6.3695,0.0942,6.5243,52.0
02:15:02 PM,6.3639,0.0959,6.5235,53.0
02:15:03 PM,6.4141,0.0977,6.5149,54.0
02:15:04 PM,6.3685,0.0995,6.5143,55.0
02:15:05 PM,6.3809,0.1013,6.5146,56.0
02:15:06 PM,6.3961,0.1030,6.5131,57.0
02:15:07 PM,6.3822,0.1048,6.5062,58.0
02:15:08 PM,6.3786,0.1066,6.5057,59.0
02:15:09 PM,6.3750,0.1083,6.5053,60.0
02:15:10 PM,6.3257,0.1101,6.4988,61.0
02:15:11 PM,6.3255,0.1119,6.4985,62.0
02:15:12 PM,6.3142,0.1136,6.4982,63.0
02:15:13 PM,6.3105,0.1154,6.4930,64.0
02:15:14 PM,6.3032,0.1171,6.4928,65.0
02:15:15 PM,6.3231,0.1189,6.4871,66.0
02:15:16 PM,6.3015,0.1206,6.4855,67.0
02:15:17 PM,6.3705,0.1224,6.4808,68.0
02:15:18 PM,6.3300,0.1242,6.4807,69.0
02:15:19 PM,6.3738,0.1259,6.4800,70.0
02:15:20 PM,6.3583,0.1277,6.4756,71.0
02:15:21 PM,6.3733,0.1294,6.4756,72.0
02:15:22 PM,6.3573,0.1312,6.4714,73.0
02:15:23 PM,6.3391,0.1330,6.4715,74.0
02:15:24 PM,6.3435,0.1347,6.4710,75.0
02:15:25 PM,6.3302,0.1365,6.4669,76.0
02:15:26 PM,6.3278,0.1383,6.4665,77.0
02:15:27 PM,6.3497,0.1400,6.4673,78.0
02:15:28 PM,6.3512,0.1418,6.4628,79.0
02:15:29 PM,6.3542,0.1436,6.4624,80.0
